agency_name,system_name,authority,categories_of_record,xml_url
DEPARTMENT OF DEFENSE,"[""Defense Sexual Assault Advocate Certification Program (D-SAACP), DHRA 10 DoD.""]","[""10 U.S.C. 136, Under Secretary of Defense for Personnel and Readiness; and DoD Instruction 6495.03, Defense Sexual Assault Advocate Certification Program (D-SAACP).""]","[""Applicant's first name, middle initial, and last name; position type (DoD personnel); Service/DoD affiliation and status; grade/rank; installation/command; work email address and telephone number; official military address of applicant and applicant's SARC (commanding officer, street, city, state, ZIP code, country); position level (Level I, II, III, or IV); certificates of training; date of application; verification of sexual assault victim advocacy experience (position, dates, hours, supervisor; name, title, and work telephone number of verifier); evaluation of sexual assault victim advocacy experience (description of applicant skills, abilities, and experience; name, title, and office of evaluator), letters of recommendation by the first person in the chain of command, SARC, and the Senior Commander or the Commander; verification of assignment eligibility screening by the Commander or appointing authority; supervisor and commander statement of understanding, documentation of continuing education training courses; D-SAACP identification (ID) number.""]",https://www.federalregister.gov/documents/full_text/xml/2020/09/23/2020-21010.xml
DEPARTMENT OF DEFENSE,"[""Military OneSource (MOS) Case Management System (CMS), DPR 45 DoD.""]","[""10 U.S.C. 136, Under Secretary of Defense for Personnel and Readiness; 10 U.S.C. 1781 note, Establishment of Online Resources To Provide Information About Benefits and Services Available to Members of the Armed Forces and Their Families; Directive-type Memorandum (DTM)-17-004, DoD Civilian Expeditionary Workforce; DoD Directive 1322.18, Military Training; DoD Instruction (DoDI) 1342.22, Military Family Readiness; DoDI 6490.06, Counseling Services for DoD Military, Guard and Reserve, Certain Affiliated Personnel, and Their Family Members; and DoDI 1322.26, Distributed Learning (DL).""]","[""Individual's full name, date of birth, gender, marital status, relationship to service member, rank, unit, branch of military service, military status, current address and mailing address, telephone numbers (work/home/cell/DSN) and participant authorization or refusal to allow incoming/outgoing text messages between participant and Military OneSource, email address, participant ID and case number (automatically generated internal numbers not provided to the participant), presenting issue/information requested, handoff type to contractor, handoff notes, if interpretation is requested and the language, referrals, and feedback from quality assurance follow-up with participants."", [""Online Learning Platform:"", "" User account name, course history (attempted dates/times, grades), member type, agency, installation, unit, and service provider affiliation.""], [""Non-medical counseling information:"", "" Psychosocial history, assessment of personal concerns, provider name, phone number, and location, authorization number, and outcome summary. ""]]",https://www.federalregister.gov/documents/full_text/xml/2020/09/23/2020-21017.xml
FARM CREDIT ADMINISTRATION,"[""FCA-1—Employee Attendance, Leave, and Payroll Records—FCA.""]","[""12 U.S.C. 2243, 2252.""]","[""This system contains paper and electronic files containing payroll-related information for FCA employees, including but not limited to: Employee name, title, department, supervisor, employee number, Social Security number (SSN), rate and amount of pay, hours worked, tax and retirement deductions, leave bank records, including requests and approvals for leave, life insurance and health insurance deductions, savings allotments, savings bond and charity deductions, health savings accounts, other financial deductions, mailing addresses, and home addresses. The National Finance Center provides Agency payroll services."", ""Additionally, the system includes information used by the Office of Examination to identify and assign FCA examiners and individuals who have been extended and accepted formal offers of employment by the Agency to specific examinations of FCS institutions. Information includes, but is not limited to: Employee name, supervisor, approved leave and related information pertaining to availability for a specific examination, institution to which the employee is assigned as part of the examination team, and general information about the employee's specific area of expertise or specialty. Sensitive information, such as Social Security number, leave types, balances, and similar information is not used for scheduling purposes.""]",https://www.federalregister.gov/documents/full_text/xml/2020/03/10/2020-04884.xml
ENVIRONMENTAL PROTECTION AGENCY,"[""Federal Docket Management System (FDMS), EPA-71.""]","[""Section 206(d) of the E-Government Act of 2002 (Public Law 107-347, 44 U.S.C. Ch 36); Clinger-Cohen Act of 1986, 40 U.S.C. 11318; and 5 U.S.C. 301.""]","[[""Agency rulemaking materials including "", ""Federal Register"", "" publications, supporting rulemaking documentation, scientific and financial studies and public comments.""]]",https://www.federalregister.gov/documents/full_text/xml/2019/08/14/2019-17459.xml
SOCIAL SECURITY ADMINISTRATION,"[""Disability Analysis File (DAF) and the National Beneficiary Survey (NBS) Data System, 60-0382.""]","[""Sections 234, 1106, and 1110 of the Social Security Act (42 U.S.C. 434, 1306, and 1310) and SSA Regulations (20 CFR part 401.165).""]","[[""The categories of records in this system include name; Social Security number (SSN); socioeconomic data ("", ""e.g.,"", "" education, work, and earnings); demographics, ("", ""e.g.,"", "" date of birth, date of death, sex, and state of residence); medical characteristics, ("", ""e.g.,"", "" number of limitations, self-reported health, mental health score); disability characteristics, ("", ""e.g."", "" primary diagnosis code and dual eligibility); information concerning subjects, ("", ""e.g.,"", "" health, self-reported health status, work experience, and family relationships); benefits, ("", ""e.g.,"", "" combined SSI and SSDI); and use of medical and rehabilitative services, ("", ""e.g.,"", "" agency closure type and service use).""]]",https://www.federalregister.gov/documents/full_text/xml/2018/12/21/2018-27665.xml
DEPARTMENT OF DEFENSE,"[""GlobalNET Outreach and Collaboration Platform, DSCA 02.""]","[""10 U.S.C. 134, Under Secretary of Defense for Policy; Department of Defense (DoD) Directive (DoDD) 5101.1, DoD Executive Agent; DoDD 5105.65, Defense Security Cooperation Agency (DSCA); DoDD 5132.03, DoD Policy and Responsibilities Relating to Security Cooperation; and DoDD 5200.41, DoD Regional Centers for Security Studies.""]","[[""Name, country of residence, nationality, rank, email addresses, "", {}, ""telephone numbers, month/year of attendance and course subjects, and biographic information such as subject matter expertise, background, and education.""]]",https://www.federalregister.gov/documents/full_text/xml/2018/04/24/2018-08451.xml
DEPARTMENT OF HOMELAND SECURITY,"[""Department of Homeland Security (DHS) DHS/ALL-038 Insider Threat Program System of Records.""]","[[""Intelligence Reform and Terrorism Prevention Act of 2004, Public Law 108-458; Intelligence Authorization Act for FY 2010, Public Law 111-259; Atomic Energy Act of 1954, 60 Stat. 755, August 1, 1946; Under Secretary for Management, Title 6 U.S.C. 341(a)(6); Investigation of Crimes Involving Government Officers and Employees, Title 28 U.S.C. 535; Law Enforcement Authority of Secretary of Homeland Security for Protection of Public Property, Title 40 U.S.C. 1315; Coordination of Counterintelligence Activities, Title 50 U.S.C. 3381; Executive Order 10450, Security Requirements for Government Employment, 18 FR 2489 (April 17, 1953); Executive Order 12333, United States Intelligence Activities, 46 FR 59941 (December 4, 1981), "", ""reprinted as amended"", "" in 73 FR 45325 (July 30, 2008); Executive Order 12829, National Industrial Security Program, 58 FR 3479 (January 06, 1993), "", ""reprinted as amended in part"", "" in 80 FR 60271 (September 30, 2015); Executive Order 12968, Access to Classified Information, 60 FR 40245 (August 2, 1995); Executive Order 13467, Reforming Processes Related to Suitability for Government Employment, Fitness for Contractor Employees, and Eligibility for Access to Classified National Security Information, 73 FR 38103 (June 30, 2008), "", ""reprinted as amended in part"", "" in 82 FR 8115 (January 17, 2017); Executive Order 13488, Granting Reciprocity on Excepted Service and Federal Contractor Employee Fitness and Reinvestigating Individuals in Positions of Public Trust, 74 FR 4111 (January 16, 2009), "", ""reprinted as amended in part"", "" in 82 FR 8115 (January 17, 2017); Executive Order 13526, Classified National Security Information, 75 FR 707 (December 29, 2009); Executive Order 13549, Classified National Security Information Programs for State, Local, Tribal, and Private Sector Entities, 75 FR 51609 (August 18, 2010), "", ""reprinted as amended"", "" in 80 FR 60271 (September 30, 2015); Executive Order 13587, Structural Reforms to Improve the Security of Classified Networks and the Responsible Sharing and Safeguarding of Classified Information, 76 FR 63811 (October 7, 2011); and Presidential Memorandum National Insider Threat Policy and Minimum Standards for Executive Branch Insider Threat Programs (November 21, 2012).""]]","[""The system may collect the following types of information:"", ""• Information potentially relevant to resolving possible insider threats and lawful DHS security investigations, including authorized physical, personnel, and communications security investigations, and information systems security analysis and reporting. Such information may include:"", ""• Individual's name and alias(es);"", ""• Date and place of birth;"", ""• Social Security number;"", ""• Address;"", ""• Open source information, including publicly available social media information;"", ""• Personal and official email addresses;"", ""• Citizenship;"", ""• Personal and official phone numbers;"", ""• Driver license number(s);"", ""• Vehicle Identification Number(s);"", ""• License plate number(s);"", ""• Ethnicity and race;"", ""• Current Employment and Performance Information;"", ""• Work history;"", ""• Education history;"", ""• Contract information;"", ""• Information on family members, dependents, relatives and other personal associations;"", [""• Passport number(s);"", {}], ""• DHS-held Travel records;"", ""• Gender;"", ""• Hair and eye color;"", ""• Biometric data;"", ""• Other physical or distinguishing attributes of an individual;"", ""• Medical information;"", ""• Access control pass, credential number, or other identifying number(s);"", ""• Media obtained through authorized procedures, such as CCTV footage; and"", ""• Any other information provided to obtain access to DHS facilities or information systems."", ""• Records relating to the management and operation of the DHS physical, personnel, and communications security programs, including:"", ""• Completed standard form questionnaires issued by the Office of Personnel Management;"", ""• Background investigative reports and supporting documentation, including criminal background, medical, and financial data;"", ""• Current and former clearance status(s);"", ""• Other information related to an individual's eligibility for access to classified information;"", ""• Criminal history records;"", ""• Polygraph examination results;"", ""• Logs of computer activities on all DHS IT systems or any IT systems accessed by DHS personnel;"", ""• Nondisclosure agreements;"", ""• Document control registries;"", ""• Courier authorization requests;"", ""• Derivative classification unique identifiers;"", ""• Requests for access to sensitive compartmented information (SCI);"", ""• Records reflecting personal and official foreign travel;"", ""• Facility access records;"", ""• Records of contacts with foreign persons; and"", ""• Briefing/debriefing statements for special programs, sensitive positions, and other related information and documents required in connection with personnel security clearance determinations."", ""• Reports of investigations or inquiries regarding security violations or misconduct, including:"", ""• Individuals' statements or affidavits and correspondence;"", ""• Incident reports;"", ""• Drug test results;"", ""• Investigative records of a criminal, civil, or administrative nature;"", ""• Letters, emails, memoranda, and reports;"", ""• Exhibits, evidence, statements, and affidavits;"", ""• Inquiries relating to suspected security violations;"", ""• Recommended remedial actions for possible security violations; and"", ""• Personnel files containing information about misconduct and adverse actions."", ""• Any information related to the management and operation of the DHS ITP, including:"", ""• Documentation pertaining to fact-finding or analytical efforts by ITP personnel to identify insider threats to DHS resources, personnel, property, facilities, or information;"", ""• Records of information technology events and other information that could reveal potential insider threat activities;"", ""• Intelligence reports and database query results relating to individuals covered by this system;"", ""• Information obtained from the Intelligence Community, law enforcement partners, and from other agencies or organizations about individuals and/or organizations known or reasonably suspected of being engaged in conduct constituting, preparing for, aiding, or relating to an insider threat;"", ""• Information provided by subjects and individual members of the public; and"", ""• Information provided by individuals who report known or suspected insider threats.""]",https://www.federalregister.gov/documents/full_text/xml/2020/03/10/2020-04795.xml
DEPARTMENT OF AGRICULTURE,"[""Agricultural Quarantine Activity System (AQAS), USDA/APHIS-20.""]","[[""The Plant Protection Act, 7 U.S.C. 7701 "", ""et seq."", "" and 7 U.S.C. 7781 "", ""et seq.;"", "" the Honey Bee Act, 7 U.S.C. 281 "", ""et seq.;"", "" and the Animal Health Protection Act, 7 U.S.C. 8301 "", ""et seq.""]]","[""For foreign arrival passengers, agricultural commodity importers, shippers, carriers, owners, consignees, delivery contact persons, permit holders, and other individuals involved in the relevant programs or activities, the records include, but are not limited to, some or all of the following: Names, addresses, telephone and fax numbers, permit numbers, and/or emergency action notification form serial numbers. AQAS contains the names and addresses of the senders and recipients recorded on intercepted mail. This system may also contain targeting information used to categorize inspection activities associated with vehicles including name or type of carrier, voyage or flight data, and destination State. AQAS also contains the contact information of the CBP and APHIS inspection officials, including names, telephone numbers, and fax numbers.""]",https://www.federalregister.gov/documents/full_text/xml/2019/08/14/2019-17461.xml
DEPARTMENT OF HOMELAND SECURITY,"[""Department of Homeland Security (DHS)/ALL-007 Accounts Payable.""]","[[""5 U.S.C. 5701 "", ""et seq.,"", "" Travel, Transportation, and Subsistence; 44 U.S.C. 3101; 19 U.S.C. 1451; 31 U.S.C. 7701(c); the Chief Financial Officers Act of 1990, Public Law 101-576; Digital Accountability and Transparency Act (DATA Act) of 2014, Public Law 113-101, sec. 5; Debt Collection Improvement Act of 1996, Public Law 104-134; and 6 CFR part 11, subpart A—Debt Collection.""]]","[""Categories of records in this system includes:"", ""• Individual's name;"", ""• Date of birth;"", ""• Employee identification number;"", ""• Tax identification number, which may be a Social Security number in certain instances;"", ""• Addresses and other general contact information, such as phone numbers, facsimile numbers, or email addresses;"", ""• Importer of record number;"", ""• Records of expenses (bills, refund checks, receipts, out-of-pocket travel expenses);"", ""• Records of payments;"", ""• Disbursement schedules;"", ""• Bank account information;"", ""• Invoices"", ""• Monies owed; and"", ""• Electronic financial institution data.""]",https://www.federalregister.gov/documents/full_text/xml/2018/12/21/2018-27606.xml
DEPARTMENT OF STATE,"[""Employee Contact Records, State-40.""]","[""5 U.S.C. 301 (Management of the Department of State); 22 U.S.C. 2581 (General Authority of Secretary of State); 22 U.S.C 2651a (Organization of the Department of State); National Security Presidential Directive (NSPD) -51/Homeland Security Presidential Directive (HSPD)—20 (May 4, 2007); National Continuity Policy Implementation Plan (August 2007); and Federal Continuity Directive 1 (February 2008).""]","[""This system contains the following contact information, as applicable, for those individuals listed in the preceding section: Name, office contact information (current post assignment, employment affiliation, work title, domestic facility location, work address, and work phone numbers), personal contact information (personal phone numbers, personal email address, home address, local address), emergency contact information, employment type, the last four-digits of a Social Security number, Global Employment Management System (GEMS) number, mail forwarding instructions, name of spouse, names of dependents, and school address.""]",https://www.federalregister.gov/documents/full_text/xml/2018/04/24/2018-08485.xml
DEPARTMENT OF THE TREASURY,"[""Treasury/DO .216—Treasury Security Access Control and Certificates Systems.""]","[""5 U.S.C. 301; 31 U.S.C. 321; 18 U.S.C. 3056A(3) and E.O. 9397 (SSN).""]","[""• Individual's application for security/access badge or access to Main Treasury or the Freedman's Bank Building;"", ""• Personal device identifier/Serial numbers certificate details;"", ""• Individual's photograph;"", ""• Fingerprint records;"", ""• Special credentials;"", ""• Treaty or agreement papers;"", ""• Registers;"", ""• Logs reflecting sequential numbering of security/access badges;"", ""• Travel history information."", ""The system also contains information needed to establish accountability and audit control of digital certificates that have been assigned to personnel who require visitor access, access to Treasury DO cyber assets including DO network and LAN as well as those who transmit electronic data that requires protection by enabling the use of public key cryptography. It also contains records that are needed to authorize an individual's access to a Treasury network, and Treasury facilities."", ""Records may include the individual's:"", ""• Name (first, middle, last);"", ""• Gender;"", ""• Organization;"", ""• Work/personal telephone number;"", ""• Social Security Number;"", ""• Date of birth;"", ""• Electronic Identification Number;"", ""• Work/personal email address;"", ""• Username and password;"", ""• Country of birth;"", ""• Citizenship;"", ""• City of Residence;"", ""• State of Residence;"", ""• Names of countries/locations visited in the past 30 days (including travel start and end date(s));"", ""• Clearance and status;"", ""• Title;"", ""• Work/home address and phone number;"", ""• Biometric data including fingerprint minutia;"", ""• Audit logs and security monitoring information such as Appointment ID number, Appointment Date and time, Appointment type, Location, Room number, salesforce ID;"", ""• Specific aids or services for the disabled;"", ""• Alias names; and"", ""• Records on the creation, renewal, replacement or revocation of electronic access, ingress/egress rights, digital certificates including evidence provided by applicants for proof of identity, sources used to verify an applicant's identity and authority, the certificates, and electronic access and ingress/egress rights issued, denied, and revoked, including reasons for denial and revocation.""]",https://www.federalregister.gov/documents/full_text/xml/2020/03/09/2020-04669.xml
BUREAU OF CONSUMER FINANCIAL PROTECTION,"[""CFPB.028—Federal Docket Management System.""]","[""Public Law 111-203, title X, sections 1013, 1021, 1022, codified at 12 U.S.C. 5492, 5511, 5512.""]","[""Information submitted by public comment may include full name, affiliated organization, postal address, email address, phone and fax number, and name of any individual serving as a representative for the individual submitting the comment.""]",https://www.federalregister.gov/documents/full_text/xml/2020/02/28/2020-02629.xml
DEPARTMENT OF THE TREASURY,"[""Department of the Treasury, Bureau of the Fiscal Service .020—U.S. Treasury Securities Fraud Information System.""]","[""31 U.S.C. 3113.""]","[""The types of personal information collected/used by this system are necessary to ensure the accurate identification of individuals who report or make fraudulent transactions involving Treasury securities, other U.S. obligations, and fictitious instruments. The types of personal information potentially could include the following:"", ""(1) Personal identifiers (name, including previous name used, and aliases; Social Security number; tax identification number; physical and electronic addresses; telephone, fax, and pager numbers); and"", ""(2) Authentication aids (personal identification number, password, account number, credit card number, shared-secret identifier, digitized signature, or other unique identifier)."", ""Supporting records may contain correspondence between the Fiscal Service and the entity or individual suspected of fraud or individual submitting a complaint or inquiry, correspondence between the Fiscal Service and the Department, or correspondence between the Fiscal Service and law enforcement, regulatory bodies, or other third parties.""]",https://www.federalregister.gov/documents/full_text/xml/2020/02/27/2020-03969.xml
DEPARTMENT OF DEFENSE,"[""Army Safety Management Information System (ASMIS), A0385-1040 ASO.""]",,,https://www.federalregister.gov/documents/full_text/xml/2020/02/27/2020-03949.xml
COMMODITY FUTURES TRADING COMMISSION,"[""LabCFTC; CFTC-50.""]","[""The collection of this information is authorized under 7 U.S.C. 5(b), and the rules promulgated thereunder.""]","[""The system of records includes information that may contain: Individual's name, physical address, telephone numbers (work, home, mobile), email addresses, employer, job title, relevant work experience, CFTC status (registrant, non-registrant), organization type (S Corporation, Limited Liability Corporation, etc.), and other business, business partner, or technology information that may be linked to an individual.""]",https://www.federalregister.gov/documents/full_text/xml/2018/01/02/2017-28297.xml
DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT,"[""HUD/Understanding Rapid Re-housing—""]","[[""The authority for the collection of the data and the maintenance of this system can be found at Sec. 501, 502, Housing and Urban Development Act of 1970 (Pub. L. 91-609), 12 U.S.C. 1701z-1, 1701z-2. One part of HUD's established mission and responsibilities is to "", {}, ""monitor family housing conditions and options. To evaluate the effectiveness of the programs that affect the conditions and options, HUD needs to collect participant data over time which includes the necessary contact and tracking information.""]]","[""The specific types of records collected from study participants and maintained will include: Names, birth dates, home addresses, telephone numbers, personal email addresses, demographic information, income information, housing history, mental and physical health, and family status information.""]",https://www.federalregister.gov/documents/full_text/xml/2017/12/26/2017-27767.xml
