System Name,PII
GSA Implementation of Google (G) Suite,"The PII stored and shared using G Suite comes from a varied source of extracts and sources. Its primary purpose for being in G Suite is either for storage, sharing or collaboration. As the applications are not designed to specifically collect any specific information, it is up to users posting to ensure they only post such information as stated in SORN CIO-3 (http://www.gpo.gov/fdsys/pkg/FR-2013-06-11/pdf/2013-13813.pdf)."
GSA Online University (OLU) and External Learning Management System (ELMS),"OLU – User Principle Name, Name, Email address and training records ELMS – Name, Email address and training records"
GSA Real Estate Exchange,"G-REX may include documents of offeror-submitted material that potentially contains PII in the form of a TIN or an SSN. G-REX also maintains the offeror/lessor business addresses and telephone number, which might be the offeror/lessor home address and telephone number."
GSA Security Tracking and Adjudication Record System (GSTARS),"Collects and maintains the following personally identifiable information which may be developed during the security investigation, including but is not limited to: Full Name • Social Security No. • Citizenship Status • fingerprint results • email address • Date of Birth • Place of Birth • Gender • Organizational and Employee affiliations Medical History • Criminal History • Mother’s Maiden Name • Employment History • Credit History • Phone Numbers • Position Title • Position Sensitivity • Eligibility Level Clearance / Eligibility Date / 3 Adjudication Date • Clearance Type: Secret, Top Secret, SCI • Reports of Foreign Travel • Reports of foreign contacts • Security Incident Reporting • Background Investigative Reports • Nondisclosure Agreements • and Requests for access to Sensitive Compartmented Information (SCI)."
GSA Smart Pay - US Bank,"cardholders name 
business address 
telephone numbers 
full name 
home or business address
date of birth,
if a cardholder agrees to creditworthiness checks, their SSN 
"
GSA SmartPay® - Citibank,"Name  Contact Information (e.g., address, telephone number, email address)  Social Security Number (SSN)  Permanent Account Number (PAN)  Information about individuals provided by third parties (e.g. employer, credit reports, background investigation) 9 Version 2.2: August 29, 2018 Data is retrieved by Card or Account number, employee ID (if provided by the agency), and the name. All PII collected is required for the business logic processing, such as, online application, customer email notification, and statement delivery. All critical PII is masked on the screen. The system reinforces entitlement to protect unauthorized access, and any violation is reported."
GSAJOBS,PII Collected shown below. All PII collected is for the purpose of applying for employment at GSA from all job applicants. ● Name ● Email Address ● Home Address ● Social Security Number (SSN) (Only last four digits are visible) ● Date of Birth ● Home address and telephone number ● Resume / Employment history ● Race and National Origin data (optional**) The PII collected can be seen by GSA HR specialists and managers who have requested applicants for open positions.
Hire EZ,"All applicants seeking employment with the Presidential Innovation Fellows (PIF). The PII collected is shown below. All PII collected is for the purpose of applying for employment at GSA / PIF from all job applicants. ● Name ● Email Address ● Home Address ● Telephone Number ● Resume / Employment history ● Veteran and Citizenship Status ● User and Online Information (e.g., LinkedIn)"
Human Resources IT Transition to Transformation (HR Links),"HR Links collects Federal employee data such as Name, Social Security Number (SSN), Employee Number, Date of Birth/Age, Home address and telephone number, Race and National Origin data, Gender, Handicap Code, Birth Date, Marital Status, Reprimands and Warnings, Education History, and Benefits. This Personally Identifiable Information (PII) is generally the most sensitive information included in the system. Other information includes payroll, accounting, pay and leave entitlement records, payroll deduction and withholding, and time and attendance records.

There are four tiers of users, as categorized by PII access. “Tier one” users are employees that can access their own personal data only, for example personal contact information, benefit election information and time and attendance records. Examples of “tier two” users are an employee’s supervisor who has access to information including that employee’s home address, personal contact information, and time and attendance records but specifically excluding Social Security Number (SSN) and date of birth (DOB). “Tier three” users are comprised of a subset of GSA OHRM staff users who may have a need to access employees’ SSNs or DOBs, as well as the information available at tiers one and two. “Tier four” users are a different subset of GSA OHRM staff who may need access to voluntarily reported employee data including race and national origin to evaluate how GSA is meeting its policies and practices on hiring and retaining minorities, women, and disabled persons, analyzing their status in the workforce; and for establishing workforce diversity goals and timetables.

HR Links receives information about GSA employees from the systems listed below:
Payroll, Accounting and Reporting (PAR) system –PAR is GSA’s payroll processing system and the link between the GSA’s HR and accounting systems. HR Links sends updated personnel data to the payroll system along with the time and attendance information required to perform payroll actions. GSA’s payroll system provides HR Links with the resulting payroll information after each payroll processing cycle. GSA employee PII shared from PAR to HR Links and from HR Links to PAR includes the employee’s name, date of birth, and social security number. However, HR Links and PAR do not exchange employee home addresses, or phone numbers.

GSA Credential and Identity Management System (GCIMS) - GCIMS contains credential and background investigation information for all GSA employees and contractors. HR Links has a bidirectional connection to GCIMS and shares PII including SSN as part of the background investigation process.

GSA JOBS - GSA JOBS contains information on GSA positions. HR Links has a bidirectional connection to GSA JOBS to track which positions are open or being filled.

HR Links transmits information to the systems listed below via secure file transfer protocol (SFTP) which provides the ability to push data to external sources through batch file transfer.

The Department of Health and Human Services (HHS) Federal Occupational Health (FOH) – HHS’ FOH provides a benefit to all federal agencies for work-life balance activities for Federal employees (https://www.worklife4you.com/index.html) . This FOH-managed program requires that each Federal agency provide a list of current employees to the WorkLife4You vendor. HR Links provides a full list of GSA employees to FOH on a monthly basis including name, e-mail address, birth date, gender, and home address to allow FOH to offer benefits.

OPM’s Electronic Official Personnel Folder (eOPF) – HR Links transmits GSA employees’ personnel records (e.g. promotions, raises, etc.) to OPM’s Enterprise Human Resources Integration (EHRI) initiative to improve the Federal Government’s human capital management. eOPF is each employee’s electronic Official Personnel File. eOPF requires the employee’s name and SSN to validate records.

Benefits (EEX) – EEX allows a variety of discretionary personnel and payroll transactions (e.g., changes to Financial Allotments, Health Benefits, Thrift Savings Plan, Direct Deposit, Federal and State Taxes, and Home Address) to be performed. This service requires PII, including SSN to validate records.

Enterprise Human Resources Integration (eHRI) – EHRI is responsible for maintaining the integrity of the electronic Official Personnel Folder (eOPF), which protects information rights, benefits, and entitlements of federal employees. Through on-demand Web-based access to personnel folders, EHRI eOPF enables 24/7 concurrent access to personnel information by Human Resources (HR) staff, and employees. It also allows the electronic transfer of the eOPF from one agency to another when the employee moves from one organization to another. The suite of EHRI analytical tools and a comprehensive Data Warehouse provides on demand, custom reports to plan and forecast the personnel needs of the Federal Government. This service requires PII, including SSN to validate records."
ImageNow,"The following personal information is required for the administration of the Child Subsidy program:

● employee by name or other unique identifier
● gender,
● birth date,
● age,
● marital status,
● spouse and
● dependents,
● home e-mail address,
● home address,
● home phone number,
● cell phone number,
● work phone number,
● health records,
● Social Security Number (SSN), (only captured in the image, not in the database)
● Employer Identification Number,
● payroll deductions,
● banking information,
● personal credit card information,

The SSN is used for tax identification purposes in the Child Subsidy program and relates to the payroll processing. This is stored in the PAR system database, and only in ImageNow as part of an image.

For invoice capture, items such as a person’s name, banking information, credit card information, and a SSN are captured only when a vendor is a sole-proprietorship using their personal information for business purposes. The SSN may be included in the image, but is not captured in the database. 
When invoices are related to a company that is not a sole proprietorship, these entries relate to business points of contact, business addresses, and business banking information, none of which is subject to the Privacy Act, because corporations and organizations do not have any Privacy Act rights. In both cases, the data is captured or searching the invoices and relating the data to data in Accounts Payable and Accounts Receivable modules in Pegasys.







"
Login.gov,"PII Categories        IAL1/AAL2        IAL2/AAL2        Purpose
Email Address        Yes        Yes        Establish account
Master Universally Unique Identifier (UUID) or MBUN        Yes        Yes        Assigned for account identification
Agency UUID        Yes        Yes        Assigned for account identification
Phone Number for multi- factor authentication (MFA)        Yes        Yes        Enable multi-factor authentication
PIV/CAC subject        Yes        Yes        Enable multi-factor authentication
Full Name        No        Yes        Identity resolution
Address        No        Yes        Identity verification
Date of Birth        No        Yes        Identity resolution
Social Security Number        No        Yes        Identity resolution
State-issued ID Number and Type        No        Yes        Identity verification
Contact Phone Number        Only if same        Yes        Verify state-issued ID address"
NBC Studley,"The NBC Studley system will include the following types of PII:

● Contact Information
● Business Information
● Financial Information
● Social Security Numbers

The Studley broker agents collects information to form leasing packages for the GSA acting as agents of GSA. Within those packages there are the following data requirements which if the lessor would need to provide when enacting a lease with GSA through the Studley brokers. The following information is required if business information is not available:
Lessor Name, Lessor Address, Lessor Phone Number, Lessor Email Address (business or personal as applicable), Lessor Tax ID (if not a business this is their SSN), Financial Account Information (bank account information)."
OCR Complaint Management System,"Name ● Sexual orientation ● Prior equal employment opportunity (EEO) activity ● Age, including date of birth ● Disability, including identifying physical or mental impairments ● Grade/step/series/salary information ● Job title ● Home address ● Phone numbers ● Email addresses ● Race ● Color ● Religion ● National origin ● Gender, including transgender status ● Other identifying information deemed relevant to the investigation"
Payroll Accounting and Reporting (PAR),"The system holds payroll records, and includes information received by operating officials as well as personnel and finance officials administering their program areas, including information regarding nonsupport of dependent children. The system also contains data needed to perform detailed accounting distributions and provide for tasks such as mailing checks and bonds and preparing and mailing tax returns and reports. Collection of SSNs is required by the Department of Treasury and IRS policy, rules and/or regulations"
Real Estate Taxes Portal (RET),"The application collects tax documentation and data from External GSA Lessors who hold a GSA lease. Data that is collected is associated with each document upload/submission (tax year, block and lot number, tax bill frequency, tax period start and end date, municipality). Information contained in submitted tax documents varies by municipality and by ownership entity; documents could contain Names, Addresses, Tax ID Numbers (which may be SSN for small business owners), Business or Home Addresses of Property Owners, Phone Numbers and other personally identifiable information.
All accounts must register first; lessors must provide an email address, name and region."
ROCIS,"The ROCIS database stores user contact information and user roles. User accounts include: Name, Agency, Title, Work Telephone, Work TDD, Work Fax, Work Email and Work Address, username (system generated), user number (system generated), and password. 

The Paperwork Reduction Act allows for the public to comment on Information Collections during the first 30 days of OIRA's review. Until now, the public has been provided with an email address at OIRA to which they can submit comments. We will now allow the public to submit comments to OIRA from Reginfo.gov. Commenters may provide name, email address and affiliation as part of their comment submission. Information provided may be used by OIRA to follow-up with commenter if needed. If provided, the commenter's name will be displayed on Reginfo.gov along with the comment when OIRA completes their review.

EO 12866 requires that OIRA meet with outside parties at their request. In order to facilitate this, users are able to request meetings with OIRA. When requesting a meeting with OIRA, names, email addresses and phone numbers are required. OIRA is required to provide information to the public after the meetings have occurred. This information includes the names of meeting participants and how they attended the meeting, i.e. teleconference, etc."
Sales Automation System,"The following information is collected by each sub-application.
Sales Automation System (SASy) – Collects following information from Individual and Company bidders/users who are awarded a sales contract
- First and Last Name
- Home address
- Email address
- Telephone number
- Social Security Number or Tax Identification Number
- Credit card number
GSAAuctions - Collects following information from Individual and Company bidders/users. Individual and Company users self-register in the application.
- First and Last Name
- Home address
- Email address
- Telephone number
- Date of birth
- Social Security Number or Tax Identification Number
- Credit card number
- IP Address
ePay – Captured following information during payment process
- First and Last Name
- Home address
- Email address
- Telephone number
- Credit card number
MySales – Collects following information
- First and Last Name
- Home address
- Email address
- Telephone number
ReverseAuctions – Maintains following information. One set of Vendor users self-register in the application.
Privacy Impact Assessment
SASY Page 11
05/08/2018
- First and Last Name
- Business / Home address
- Email address
- Telephone number
International bidders registering on GSAAuctions and failed bidders attempting registration on GSAAuctions are asked to provide 2 forms of identification for identity verification to registration@gsa.gov. The Office of Personal Property Central Office staff verify the documents sent by bidders. Once the documents are verified the central office uses the GSAAuctions Application – Administrator interface to override international and failed users so as to complete registration. Once the users are registered, the central office staff deletes the emails containing identity documents. Some bidders mail personal identity documents to Office of Personal Property. The documents are shredded after verification.
GSAAuctions uses past bidding history data based on product categories to identify target users to send marketing email for upcoming sales. The bidders are selected by random (50% sampling) where marketing emails are sent on a daily basis. Any bidding history to date has not been purged.
The GSAAuctions sub-application uses Experian products (PreciseId for Individual user and BizID for Company users) to get a decision (Accept or Refer). The application uses this decision to make a decision on approving users as registered bidders. For Experian service PreciseId, GSAAuctions sends Individual SSN, name, address and optionally credit card number to get a decision. For Experian service BizId, GSAAuctions sends Company TIN, company name and address to get a decision. The results of the “Accept or Refer” decision are saved in GSAAuctions.
ReverseAuctions – Open Market vendors self-register in the application. Sam.gov is used to verify if a vendor is in active status."
System for Award Management (SAM),"In the Entity Management functional area, SAM contains records that capture information users voluntarily provide about their entity as part of the process to register to do business with the Federal Government, including the entity legal business name, entity email address, entity telephone number, entity Taxpayer Identification Number (TIN), and entity address.

In the case of a sole proprietor, tax laws allow them to use their Social Security Number (SSN) as their TIN if they do not have a separate Employer Identification Number (EIN). The TIN (whether it be an EIN or an SSN) is not publicly available data. In the exclusion portion of the Performance Information functional area, SAM contains records entered by Federal agency suspension and debarment officials, some of which may be records on individuals."
The Museum System (TMS),"For some, but not all, individuals the following information is collected:

Name
Date of birth
Place of birth
Current address – street address, city, state, zip code Email address
Website address
Home telephone number
Office/studio telephone number
Fax number
Contact information for gallery or other artist’s representative U.S. Citizenship or permanent residence status confirmation"
Touchpoints,"Currently, Touchpoints has three form instrument “templates” - combinations of input fields designed for common customer experience evaluation purposes.

● A-11 form template: no PII is requested
● Recruiter form template: First Name, phone (optional), email address (optional)
● Open text feedback form template: a single multi-line text input, (no PII is
requested or required)"
TTS Applicant Tracker,"Eligibility Requirements: “All United States citizens and nationals (residents of American Samoa and Swains Islands) are eligible to apply.” Do you meet the eligibility requirements? (Y/N)

Preferred Name, Email, Best Phone Number, City, State, ZIP Code, Ability to work full- time (Y/N), Preferred Work location (Picklist), 

Where did you learn about this opportunity (Picklist), Up to 3 URL links to resume, portfolios or other online presence, Resume (Text Box), Why do you want to join this organization (Text Box), 

Tell us why you’re interested in the role you’re applying for (Text Box).

“Are you a Veteran of the U.S. Armed Forces or are you eligible for derived preference?” (Picklist below)
● No, I do not claim Veterans' Preference.
● 0-point Sole Survivorship Preference (SSP).
● 5-point preference based on active duty in the U.S. Armed Forces (TP).
● 10-point preference based on a compensable service connected disability of at
least 10% but less than 30% (CP).
● 10-point preference based on a compensable service connected disability of 30%
or more (CPS).
● 10-point preference for non-compensable disability or Purple Heart (XP).
● 10-point preference based on widow/widower or mother of a deceased veteran,
or spouse or mother of a disabled veteran (XP)."
TTS Data.gov,Data.gov collects names and email addresses of those users who choose to input that information. The input of names and email addresses from users is optional.
USAccess,"The personal information collected in the enrollment process consists of data elements necessary to verify the identity of individuals and to perform background investigations concerning applicants. The data elements retained by the USACCESS IDMS for the PIV Card applicants include: name, date of birth, SSN, organizational and employee affiliations, fingerprints, digital color photograph, work e-mail address, and phone number(s), as well as additional verification and demographic information. Other types of data contained in the system may include: military status; foreign national status, federal emergency response official status; law enforcement official status; results of background check; and PIV Card issuance location."
GSA's Customer Engagement Organization.,"This system contains information needed for the functionality of specific minor applications that are developed for GSA's implementation of the Customer Engagement Organization on the salesforce.com platform. This system contains the following information:
Full name.
Personal physical home address.
Personal home or mobile phone.
Personal email addresses.
U.S. citizenship status.
U.S. armed forces veteran status.
Current employer.
Optional links to social networking profiles.
Resume/CV.
Social Security Number.
Grade.
Work phone Number.
Total Income.
Number of dependent children.
Number of children on whose behalf the parent is applying for a subsidy.
Information on child care providers used, including name, address, provider license number and State where issued, tuition cost, and provider tax identification number.
Copies of IRS Forms 1040 and 1040A for verification purposes."
Employee-related files.,"The system records contain the individual's name; social security 
number; birth date; home and emergency addresses and telephone numbers; 
personnel actions; professional registration; qualifications; training; 
employment history; awards; counseling; reprimands; grievances; 
appeals; leave; pay attendance; work assignments; performance ratings; 
injuries; permit and pass applications; unpaid debt complaints, 
including nonpayment of child support; travel; outside employment; 
congressional employee relief bills; and telephone call details. The 
system does not include official personnel files covered by OPM/GOVT-1."
E-PACS,"Photo, Full Cardholder Unique Identifier (CHUID), Public Key Infrastructure (PKI) Certificateâ(X509), Card Authentication Key (CAK) Certificate, Full Name, Person Classification, Badge Expiration Date, Card State, User Principal Name (UPN), Federal Agency Smart Card Number (FASC-N), and Globally Unique Identifier (GUID)."
Investigation Case Files.,"Investigative files containing personal information, including name, date, and place of birth, experience, and investigative material that is used as a basis for taking civil, criminal, and administrative actions."
Internal Evaluation Case Files.,"Investigative files containing information such as name, date and place of birth, experience, and investigative material that is used as a basis for taking civil, criminal, and administrative actions."
Office of Inspector General Counsel Files,"The system contains information routinely and necessarily obtained by the OIG Counsel's Office in the conduct of its official responsibility to represent and advise the GSA OIG. Records in this system pertain to a broad variety of matters handled by the OIG Office of Counsel, including but not limited to civil, criminal, and administrative actions, personnel matters, correspondence, special projects, and Freedom of Information Act and Privacy Act requests. Records may include but are not limited to: Name, social security number, addresses, phone numbers, e-mail address, birth date, financial information, medical records, or employment records. The system may also contain other records such as: Case history files, copies of applicable laws, working papers of attorneys, testimony of witnesses, correspondence, accident reports, pleadings, affidavits, litigation reports, financial data and other records. This system notice covers records not covered by other appropriate system of records notices."
Child Care Subsidy.,"Application forms for child care subsidy containing personal information, including employee (parent) name, Social Security Number, grade, home and work numbers, addresses, telephone numbers, total income, number of dependent children, and number of children on whose behalf the parent is applying for a subsidy; information on child care providers used, including name, address, provider license number and State where issued, tuition cost, and provider tax identification number; and copies of IRS Forms 1040 and 1040A for verification purposes."
GSA Credential and Identity Management System (GCIMS).,"The system contains information needed for issuing and maintaining HSPD-12 credentials and also access privilege information. Records may include:
â¢ Employee/contractor/other worker full name
â¢ Social Security Number (SSN)
â¢ Date of birth
â¢ Place of birth
â¢ Height
â¢ Weight
â¢ Hair color
â¢ Eye color
â¢ Sex
â¢ Citizenship

â¢ Non-US citizens only:
â Port of entry city and state
â Date of entry
â Less than 3-year US resident (yes or no)
â¢ Occupation
â¢ Summary report of investigation
â¢ Investigation results and date
â¢ File attachments containing PII
â¢ Security Specialist Notes
â¢ Investigation History Data
â¢ Level of security clearance
â¢ Date of issuance of security clearance
â¢ Facial Image
â¢ Fingerprints
â¢ Organization/office of assignment
â¢ Region
â¢ Company name
â¢ Telephone number
â¢ ID card issuance and expiration dates
â¢ ID card number
â¢ Emergency responder designation
â¢ Home address and work location
â¢ Emergency contact information
â¢ Physical and logical access
â¢ Contractors only:
â  Contract company (also referred as vendor)
â Vendor Point of Contact (POC)
â Whether contract company is the prime or a subcontractor
â Name of prime if company is subcontractor
â Task order number, delivery order, or contract base number
â Contract start and end date
â Contract option years (yes or no)
â Names of previous companies on GSA contracts"
